LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"0","159",0.1359730403,27.0973950960,-73.8627155580,8.9447894329,25.0000000000
"0","160",0.1363210895,27.0977431450,-73.8630476820,8.9446853566,25.0000000000
"0","161",0.1365689216,27.0979909770,-73.8632400200,8.9445290659,25.0000000000
"0","162",0.1369555322,27.0983775880,-73.8634674040,8.9442163928,25.0000000000
"0","163",0.1372752877,27.0986973430,-73.8635899150,8.9439210378,25.0000000000
"0","164",0.1375476083,27.0989696640,-73.8637123960,8.9436778159,25.0000000000
"0","165",0.1376643165,27.0990863720,-73.8637648880,8.9435735786,25.0000000000
"0","166",0.1377032189,27.0991252750,-73.8637823840,8.9435388325,25.0000000000
"0","167",0.1377183422,27.0991403980,-73.8637819180,8.9435237165,25.0000000000
"0","168",0.1387489015,27.1001709570,-73.8641150240,8.9425484767,25.0000000000
"0","169",0.1388357755,27.1002578310,-73.8641367330,8.9424643588,25.0000000000
"0","170",0.1409919933,29.1002589940,-73.8646755460,8.9403765475,27.0000000000
"0","171",0.1411455803,29.1004125810,-73.8648058060,8.9402951765,27.0000000000
"0","172",0.1428158060,29.1020828060,-73.8650258710,8.9386395119,27.0000000000
"0","173",0.1449825971,30.1020851540,-73.8652812650,8.9364878248,28.0000000000
"0","174",0.1471910432,30.1042936000,-73.8655987250,8.9343023148,28.0000000000
"0","175",0.1486746421,30.1057771990,-73.8658688890,8.9328435218,28.0000000000
"0","176",0.1509805589,30.1080831160,-73.8664315800,8.9306073127,28.0000000000
"0","177",0.1542517399,32.1080857910,-73.8671329660,8.9274122098,26.0000000000
"0","178",0.1553216341,32.1091556850,-73.8671726410,8.9263430515,26.0000000000
"0","179",0.1558928405,32.1097268910,-73.8673075680,8.9257880097,26.0000000000
"0","180",0.1563394543,32.1101735050,-73.8673622300,8.9253447535,26.0000000000
"0","181",0.1574932232,34.1101738380,-73.8673479020,8.9241910737,28.0000000000
"0","182",0.1589715653,34.1116521800,-73.8674985230,8.9227204246,28.0000000000
"0","183",0.1604892518,34.1131698670,-73.8674970590,8.9212027387,28.0000000000
"0","184",0.1609981300,35.1131699960,-73.8675673520,8.9206987389,27.0000000000
"0","185",0.1623423414,35.1145142080,-73.8678336570,8.9193811707,27.0000000000
"0","186",0.1627502691,35.1149221350,-73.8678658170,8.9189745126,27.0000000000
"0","187",0.1632141882,35.1153860540,-73.8678304590,8.9185119429,27.0000000000
"0","188",0.1642774437,35.1164493100,-73.8676002300,8.9174739126,27.0000000000
"0","189",0.1654872152,36.1164500420,-73.8675614500,8.9162647628,26.0000000000
"0","190",0.1659512238,36.1169140500,-73.8675005980,8.9158047617,26.0000000000
"0","191",0.1662569239,36.1172197500,-73.8674090330,8.9155130968,26.0000000000
"0","192",0.1669547002,36.1179175270,-73.8671127680,8.9148813385,26.0000000000
"0","193",0.1676331628,36.1185959890,-73.8669527690,8.9142220117,26.0000000000
"0","194",0.1682109878,36.1191738140,-73.8667723430,8.9136730779,26.0000000000
"0","195",0.1701735479,40.1191742960,-73.8660398740,8.9118523277,30.0000000000
"0","196",0.1715946390,40.1205953870,-73.8656315720,8.9104911557,30.0000000000
"0","197",0.1723965512,40.1213972990,-73.8654638480,8.9097069798,30.0000000000
"0","198",0.1740604172,42.1213979910,-73.8652973450,8.9080514657,28.0000000000
"0","199",0.1757119317,42.1230495060,-73.8650144210,8.9064243657,28.0000000000
"0","200",0.1771362675,42.1244738410,-73.8646714890,8.9050419295,28.0000000000
"0","201",0.1785489844,43.1244748390,-73.8642063410,8.9037079856,27.0000000000
"0","202",0.1796535683,43.1255794230,-73.8640531240,8.9026140797,27.0000000000
"0","203",0.1805274942,43.1264533490,-73.8638516320,8.9017636989,27.0000000000
"0","204",0.1811052277,43.1270310830,-73.8636816980,8.9012115228,27.0000000000
"0","205",0.1816973862,43.1276232410,-73.8634647640,8.9006605315,27.0000000000
"0","206",0.1821793408,43.1281051960,-73.8632485660,8.9002297896,27.0000000000
"0","207",0.1830538626,44.1281055780,-73.8627666740,8.8995000166,26.0000000000
"0","208",0.1835987532,44.1286504690,-73.8625053180,8.8990218966,26.0000000000
"0","209",0.1843133877,50.1286505110,-73.8622188000,8.8983672135,32.0000000000
"0","210",0.1848165108,50.1291536340,-73.8620671020,8.8978875047,32.0000000000
"0","211",0.1854346941,50.1297718180,-73.8619659340,8.8972776558,32.0000000000
"0","212",0.1866911464,50.1310282700,-73.8619772610,8.8960212546,32.0000000000
"0","213",0.1874753486,52.1310284240,-73.8619087290,8.8952400527,30.0000000000
"0","214",0.1882336365,52.1317867120,-73.8618030870,8.8944891597,30.0000000000
"0","215",0.1902291587,52.1337822340,-73.8614498250,8.8925251549,30.0000000000
"0","216",0.1906106433,52.1341637180,-73.8613200270,8.8921664308,30.0000000000
"0","217",0.1911264352,52.1346795100,-73.8610605940,8.8917206328,30.0000000000
"0","218",0.1916650330,54.1346795830,-73.8607283880,8.8912966907,28.0000000000
"0","219",0.1920681081,54.1350826580,-73.8604404190,8.8910146566,28.0000000000
"0","220",0.1925021618,54.1355167120,-73.8605419630,8.8905926478,28.0000000000
"0","221",0.1926430554,54.1356576050,-73.8606204840,8.8904756628,28.0000000000
"0","222",0.1927969274,54.1358114770,-73.8607062390,8.8903479027,28.0000000000
"0","223",0.1932367673,54.1362513170,-73.8608706110,8.8899399309,28.0000000000
"0","224",0.1935839871,54.1365985370,-73.8611169530,8.8896952327,28.0000000000
"0","225",0.1943885261,54.1374030760,-73.8614456470,8.8889609008,28.0000000000
"0","226",0.1985551934,55.1374117560,-73.8614480870,8.8847942342,27.0000000000
"0","227",0.1992853451,55.1381419080,-73.8614485150,8.8840640827,27.0000000000
"0","228",0.2000379802,56.1381421910,-73.8612848160,8.8833294657,26.0000000000
"0","229",0.2001604012,56.1382646120,-73.8612848880,8.8832070446,26.0000000000
"0","230",0.2003077818,56.1384119930,-73.8612028960,8.8830845768,26.0000000000
"0","231",0.2006031698,56.1387073810,-73.8609567980,8.8829212067,26.0000000000
"0","232",0.2008979320,56.1390021430,-73.8607928130,8.8826762705,26.0000000000
"0","233",0.2013377700,56.1394419810,-73.8606289230,8.8822681069,26.0000000000
"0","234",0.2016849839,56.1397891950,-73.8603828740,8.8820231227,26.0000000000
"0","235",0.2020938625,56.1401980740,-73.8601368740,8.8816965255,26.0000000000
"0","236",0.2025568140,56.1406610250,-73.8598088090,8.8813698799,26.0000000000
"0","237",0.2029663243,56.1410705350,-73.8594806970,8.8811248468,26.0000000000
"0","238",0.2032610860,56.1413652970,-73.8593167140,8.8808799099,26.0000000000
